alcaldia,sexo,rango_edad,poblacion
AZCAPOTZALCO,Hombre,a) 0 a 4 años,10794
AZCAPOTZALCO,Hombre,b) 5 a 9 años,11950
AZCAPOTZALCO,Hombre,c) 10 a 14 años,13219
AZCAPOTZALCO,Hombre,d) 15 a 19 años,14272
AZCAPOTZALCO,Hombre,e) 20 a 24 años,15895
AZCAPOTZALCO,Hombre,f) 25 a 29 años,16899
AZCAPOTZALCO,Hombre,g) 30 a 34 años,17047
AZCAPOTZALCO,Hombre,h) 35 a 39 años,15868
AZCAPOTZALCO,Hombre,i) 40 a 44 años,14624
AZCAPOTZALCO,Hombre,j) 45 a 49 años,14810
AZCAPOTZALCO,Hombre,k) 50 a 54 años,14313
AZCAPOTZALCO,Hombre,l) 55 a 59 años,11992
AZCAPOTZALCO,Hombre,m) 60 a 64 años,10497
AZCAPOTZALCO,Hombre,n) 65 a 69 años,7906
AZCAPOTZALCO,Hombre,o) 70 a 74 años,5925
AZCAPOTZALCO,Hombre,p) 75 a 79 años,3966
AZCAPOTZALCO,Hombre,q) 80 a 84 años,2628
AZCAPOTZALCO,Hombre,r) 85 años y más,2163
AZCAPOTZALCO,Mujer,a) 0 a 4 años,10266
AZCAPOTZALCO,Mujer,b) 5 a 9 años,11470
AZCAPOTZALCO,Mujer,c) 10 a 14 años,12667
AZCAPOTZALCO,Mujer,d) 15 a 19 años,13711
AZCAPOTZALCO,Mujer,e) 20 a 24 años,15561
AZCAPOTZALCO,Mujer,f) 25 a 29 años,17506
AZCAPOTZALCO,Mujer,g) 30 a 34 años,17858
AZCAPOTZALCO,Mujer,h) 35 a 39 años,17294
AZCAPOTZALCO,Mujer,i) 40 a 44 años,16621
AZCAPOTZALCO,Mujer,j) 45 a 49 años,17049
AZCAPOTZALCO,Mujer,k) 50 a 54 años,16822
AZCAPOTZALCO,Mujer,l) 55 a 59 años,14682
AZCAPOTZALCO,Mujer,m) 60 a 64 años,13290
AZCAPOTZALCO,Mujer,n) 65 a 69 años,10153
AZCAPOTZALCO,Mujer,o) 70 a 74 años,8307
AZCAPOTZALCO,Mujer,p) 75 a 79 años,5665
AZCAPOTZALCO,Mujer,q) 80 a 84 años,4217
AZCAPOTZALCO,Mujer,r) 85 años y más,3933
COYOACAN,Hombre,a) 0 a 4 años,13518
COYOACAN,Hombre,b) 5 a 9 años,15435
COYOACAN,Hombre,c) 10 a 14 años,17531
COYOACAN,Hombre,d) 15 a 19 años,20091
COYOACAN,Hombre,e) 20 a 24 años,23667
COYOACAN,Hombre,f) 25 a 29 años,23879
COYOACAN,Hombre,g) 30 a 34 años,22251
COYOACAN,Hombre,h) 35 a 39 años,21119
COYOACAN,Hombre,i) 40 a 44 años,20884
COYOACAN,Hombre,j) 45 a 49 años,21315
COYOACAN,Hombre,k) 50 a 54 años,19628
COYOACAN,Hombre,l) 55 a 59 años,16722
COYOACAN,Hombre,m) 60 a 64 años,15447
COYOACAN,Hombre,n) 65 a 69 años,13010
COYOACAN,Hombre,o) 70 a 74 años,10308
COYOACAN,Hombre,p) 75 a 79 años,6748
COYOACAN,Hombre,q) 80 a 84 años,4174
COYOACAN,Hombre,r) 85 años y más,3321
COYOACAN,Mujer,a) 0 a 4 años,13109
COYOACAN,Mujer,b) 5 a 9 años,15013
COYOACAN,Mujer,c) 10 a 14 años,16721
COYOACAN,Mujer,d) 15 a 19 años,19308
COYOACAN,Mujer,e) 20 a 24 años,23369
COYOACAN,Mujer,f) 25 a 29 años,23960
COYOACAN,Mujer,g) 30 a 34 años,23393
COYOACAN,Mujer,h) 35 a 39 años,23561
COYOACAN,Mujer,i) 40 a 44 años,23931
COYOACAN,Mujer,j) 45 a 49 años,24865
COYOACAN,Mujer,k) 50 a 54 años,23601
COYOACAN,Mujer,l) 55 a 59 años,20856
COYOACAN,Mujer,m) 60 a 64 años,20697
COYOACAN,Mujer,n) 65 a 69 años,17480
COYOACAN,Mujer,o) 70 a 74 años,13762
COYOACAN,Mujer,p) 75 a 79 años,9201
COYOACAN,Mujer,q) 80 a 84 años,6219
COYOACAN,Mujer,r) 85 años y más,6225
CUAJIMALPA DE MORELOS,Hombre,a) 0 a 4 años,7239
CUAJIMALPA DE MORELOS,Hombre,b) 5 a 9 años,7848
CUAJIMALPA DE MORELOS,Hombre,c) 10 a 14 años,7952
CUAJIMALPA DE MORELOS,Hombre,d) 15 a 19 años,8442
CUAJIMALPA DE MORELOS,Hombre,e) 20 a 24 años,8830
