,age,date,operation_type,current_amount,monthly_income,available_credit,transaction_amount
0,30,2023-10-08,P,35115.4138432067,3364.0,13828.711937548731,3820.2405808230706
1,35,2023-11-13,R,32737.783632070805,24465.0,2000.0,2981.6194172674086
2,45,2023-11-26,P,24533.855225860312,1149.0,2000.0,4636.488667560801
3,35,2023-10-11,T,31461.18826472198,12048.0,29446.164910539334,4303.044927318249
4,51,2023-09-04,T,41043.406422845015,20824.0,66029.76980087679,10233.190099753983
5,27,2023-09-26,P,35418.25088089702,0.0,2000.0,4667.96244914282
6,33,2023-10-20,P,31334.12047921341,2144.0,2000.0,4897.099411916892
7,34,2023-10-18,T,21522.735526593737,4902.0,44399.57145486151,8078.396970704102
8,25,2023-10-10,T,43257.333983914665,6712.0,2000.0,1623.6206489045794
9,31,2023-11-29,R,26892.51464839469,0.0,104703.71745784068,3941.0960412143927
10,54,2023-11-16,T,29262.962187934143,8530.0,34296.97608867729,8429.718915858206
11,42,2023-11-20,P,31026.67698942159,18481.0,2000.0,6303.734902827465
12,36,2023-09-30,R,20432.42281964374,24063.0,90254.7561353188,3280.8284632638797
13,44,2023-10-17,R,41957.52154474459,11922.0,2364.381497124956,6861.127077241843
14,30,2023-10-05,P,27630.71133077266,4011.0,67876.71729987604,5160.219663163292
15,36,2023-10-27,R,37803.202937727576,7652.0,2000.0,2345.901174013325
16,45,2023-11-26,T,30762.804000453893,0.0,43766.71912086914,4762.759542877451
17,22,2023-11-28,T,42609.13791263681,14129.0,2000.0,5290.062561829793
18,47,2023-09-22,P,39276.88170658806,8287.0,58511.08285767905,2968.6779170546783
19,24,2023-10-20,T,57484.54042750283,13593.0,20332.64557657437,1104.2767388986913
20,29,2023-09-14,T,42855.455459480974,2194.0,5508.1290507201375,9234.705907202426
21,48,2023-09-28,P,11272.16254649773,0.0,31182.125553127913,6999.374712691124
22,34,2023-09-14,P,31094.883360763746,12512.0,2000.0,2682.6369355682223
23,48,2023-11-13,T,32829.65684558221,9829.0,51208.73940368526,7922.561170298381
24,34,2023-09-10,R,22678.575904188438,16412.0,17829.593721685273,2101.4890785371636
25,28,2023-10-31,T,37641.857341229545,17942.0,110006.44403510871,8618.04400354964
26,37,2023-11-17,R,22688.923761464404,398.0,51810.81377086598,4277.621855990016
27,31,2023-09-25,P,24698.983403552455,13938.0,2000.0,6879.001571794521
28,41,2023-11-28,R,35457.47022229096,20875.0,2000.0,4652.223514411201
29,40,2023-10-22,P,29655.676581232336,17595.0,2000.0,7607.917610169068
30,50,2023-11-08,T,25701.22485028307,17260.0,17768.968382804233,6666.359692705571
31,32,2023-11-18,R,23623.802631463193,12924.0,119961.64635969322,7106.468735745654
32,44,2023-10-29,T,26315.618166574663,16801.0,2000.0,7324.1603951538
33,33,2023-11-27,T,21318.55289259743,0.0,2000.0,6617.745917168485
34,35,2023-09-15,P,30257.291848324,29605.5,24607.469356933318,4763.466285530899
35,40,2023-10-01,R,38513.90104797759,0.0,2000.0,6998.521810784094
36,27,2023-09-10,R,29169.54555045202,7136.0,99098.05612365351,6313.690029253674
37,43,2023-11-10,P,24053.95482335126,5750.0,2000.0,753.9890636129676
38,47,2023-09-08,T,29580.720558027962,13820.0,7482.086045024844,7163.057150428322
39,49,2023-11-27,T,28204.62171417109,8884.0,2000.0,4271.118440920579
40,53,2023-11-22,T,37284.92809151011,0.0,2000.0,3171.604206284409
41,36,2023-11-06,R,44284.189304573665,16115.0,2000.0,3844.2762546698095
42,51,2023-10-03,R,43989.498770517195,10346.0,145073.7187207305,5987.708388579938
43,38,2023-10-16,R,48147.56318686584,7405.0,127756.26672159394,4344.276016845032
44,47,2023-10-25,R,18754.948318192706,5219.0,79948.67282669534,5435.1734629980765
45,32,2023-09-10,P,36225.736097123256,15480.0,70323.37249044016,5492.136071403876
46,40,2023-10-05,P,30339.756798962397,10906.0,2000.0,6886.452460694374
47,56,2023-10-13,T,38257.94152531754,11145.0,97783.03489354432,4018.500009829532
48,47,2023-10-01,R,41254.624397712396,0.0,2000.0,4771.433090733618
49,30,2023-10-30,R,57330.999560215874,32713.5,2000.0,2393.205117992086
50,27,2023-11-02,P,35489.16687830881,5881.0,2000.0,6561.135072879769
51,44,2023-11-28,P,33451.725316149386,12731.0,126269.56072374329,7279.713528960281
52,31,2023-09-20,P,43655.08139635644,7144.0,200000.0,1616.486416367014
53,47,2023-10-24,T,24355.131682298204,11314.0,112711.4914381501,6926.174205067036
54,42,2023-10-17,T,36942.734193204946,26866.0,2000.0,5510.657848335761
55,44,2023-10-13,P,35567.11269050863,14398.0,2000.0,3966.2512264448505
56,22,2023-11-24,R,35126.18599330476,12432.0,2000.0,2669.348574019093
57,30,2023-10-21,R,29583.532704729525,5218.0,2000.0,6509.482626119881
58,33,2023-09-26,T,34661.667364209585,6533.0,2000.0,4561.243023200043
59,52,2023-09-07,T,15160.896341611733,0.0,103952.82516771491,7822.899924753488
60,41,2023-11-18,P,24013.54296626846,23708.0,21187.465284565922,5132.649046131943
61,38,2023-11-29,R,44429.242206227544,9806.0,82654.49920053006,4648.166301828177
62,31,2023-10-24,R,29837.983546893814,3441.0,2000.0,6796.336705853306
63,38,2023-11-28,P,18258.351547893137,14352.0,6150.27578686868,4374.414984577378
64,24,2023-09-02,T,18059.038977181644,13481.0,33577.52392150884,6460.583247970141
65,49,2023-09-10,R,34320.10078157447,19780.0,2000.0,3892.5858808877283
66,41,2023-11-09,P,24107.619150756163,4538.0,2000.0,7367.764615466221
67,29,2023-11-21,T,25988.653874475844,23490.0,131516.25744574924,5928.535454644164
68,37,2023-10-09,P,27673.41637834283,3784.0,58656.04992862859,4507.741577908739
69,48,2023-11-08,T,20144.182394177224,263.0,2000.0,6414.496224237638
70,44,2023-11-20,P,23578.39744772254,9075.0,2102.3541277688346,8883.089054011392
71,27,2023-11-16,P,29913.4911857537,12488.0,2000.0,5632.270197968697
72,41,2023-11-04,T,22760.044689098064,16669.0,2000.0,4177.99633327179
73,48,2023-10-31,R,33372.60575762995,12707.0,32133.864720181897,5761.052114358999
74,38,2023-09-01,P,26181.371581654777,295.0,78262.34044624378,1152.7863628731156
75,35,2023-10-30,R,38834.23184295939,14199.0,2000.0,6609.965333692755
76,33,2023-10-18,T,14944.636818899662,14275.0,2000.0,8255.552978647225
77,33,2023-11-20,R,34089.47934372198,0.0,125142.84388427314,9150.621534429432
78,43,2023-11-24,R,38501.23894658906,23114.0,2000.0,8701.251045743531
79,38,2023-10-03,T,33452.2134708803,18269.0,2000.0,2870.6791877415817
80,48,2023-09-24,T,40378.12515938416,14956.0,7810.596628311914,5766.433135518331
81,21,2023-11-10,T,14917.763505816001,23010.0,2000.0,5278.042429298663
82,45,2023-10-02,P,28840.46035482555,12953.0,143768.30304213695,5453.957767088379
83,38,2023-11-08,T,30892.37189139998,6471.0,47305.0632437475,6450.987197693484
84,31,2023-11-24,T,33559.09443314681,0.0,2000.0,4552.669318083218
85,44,2023-09-07,R,28340.559684903765,11256.0,86797.07309204269,3671.1568915075095
86,30,2023-09-19,P,40319.39936572076,12194.0,2000.0,200.0
87,41,2023-11-29,P,36086.55374254077,16397.0,2000.0,8912.21582908553
88,42,2023-10-26,T,21206.46995567786,10785.0,41455.963060795264,6277.567139726709
89,47,2023-09-22,R,32794.04632786082,4366.0,50817.27368801273,2444.502218614963
90,30,2023-09-24,T,26325.22128071078,15808.0,9613.909892085176,3405.009824149347
91,46,2023-11-17,R,37564.248914165044,1372.0,2000.0,6530.423937570351
92,25,2023-09-14,P,29039.445080541904,10888.0,2000.0,8822.70625500322
93,39,2023-11-17,P,29169.598912336405,11314.0,2000.0,3276.4657249311686
94,44,2023-10-23,R,42520.79632529684,13309.0,105655.98140206763,6455.772251410175
95,37,2023-10-14,T,32337.416880683573,14282.0,2000.0,4482.475360850805
96,58,2023-09-09,T,6181.957008238547,7419.0,2000.0,3131.4437200008133
97,44,2023-09-08,R,28928.583954543505,7530.0,190747.4704441006,4081.7792985605874
98,43,2023-10-02,P,30916.390773618314,0.0,71069.31344883755,8499.040666575425
99,41,2023-11-24,T,35491.16487935036,20973.0,27851.718864190047,4660.4261707615215
100,39,2023-10-20,T,44755.07814883589,10329.0,73003.5044189845,6184.154345094764
101,54,2023-10-18,P,38723.14150285901,9538.0,2000.0,8648.98773636169
102,36,2023-09-11,P,21567.855707930594,15062.0,12299.775004058538,8227.860799691258
103,26,2023-09-30,R,29150.832691247473,18678.0,118697.48556226084,5970.029780046832
104,43,2023-10-24,T,32493.087590983847,0.0,18486.143349603582,2037.3417518907595
105,47,2023-09-29,T,29736.168797995593,0.0,117178.52651890271,4991.203436053985
106,29,2023-11-08,P,27304.376027695656,21693.0,46304.349481094956,6227.812175413355
107,18,2023-09-13,T,22776.069729364426,0.0,2000.0,3091.2418599664607
108,56,2023-10-24,R,26320.574408727185,9214.0,2000.0,6484.153737654112
109,41,2023-10-03,R,28571.28767851523,12610.0,78770.43506502411,8974.198585021992
110,41,2023-11-19,R,23653.086314762204,0.0,2000.0,5442.092289905848
111,30,2023-11-29,P,18899.00951150085,0.0,29659.520159747623,4010.183846661689
112,51,2023-10-23,T,38946.879619464285,12609.0,2000.0,4255.474054842371
113,39,2023-09-20,T,49823.64539832248,0.0,2000.0,7193.850341556682
114,23,2023-11-17,T,30036.98431317614,11155.0,2000.0,6056.530412252046
115,43,2023-10-29,R,19106.254085495653,6303.0,2000.0,10602.538894596877
116,43,2023-10-24,R,33150.97848147867,22148.0,139645.32507068617,3517.541275823119
117,37,2023-10-28,T,39393.69828731239,8069.0,134075.03813284542,4970.067986518566
118,62,2023-09-28,T,25694.3631918744,19337.0,2000.0,3599.651534301846
119,54,2023-10-14,P,37209.74628764431,6079.0,2000.0,4883.341215377614
120,48,2023-09-09,P,13924.422696165617,1359.0,2000.0,4798.783567422415
121,36,2023-10-28,R,42258.010023598974,16189.0,2934.7563119687084,3242.471260778234
122,50,2023-11-17,R,32591.89021452677,17846.0,35879.86247326519,2639.2405547158487
123,20,2023-10-08,R,25628.911339086422,20313.0,2000.0,7029.3040645394785
124,35,2023-10-01,R,37030.90869672596,7509.0,2000.0,3021.209607915963
125,53,2023-10-26,P,36540.07409228917,12939.0,12064.440073771224,4082.289703234521
126,42,2023-09-24,R,35306.05929922027,17039.0,40773.66335146809,5954.435510031656
127,47,2023-09-29,R,50851.27054758201,11654.0,12643.97696390836,4549.4000532657765
128,35,2023-09-18,T,28909.73745952296,18548.0,2000.0,4175.350215829226
129,24,2023-09-19,R,35002.771154593356,14061.0,2000.0,5343.337857496883
130,29,2023-11-19,T,33870.876449572825,14829.0,2000.0,4222.929362897136
131,25,2023-09-19,P,41064.55089236668,10249.0,27264.985278646367,7969.931626349144
132,40,2023-09-04,R,36189.85608569667,7076.0,32881.78012465522,6391.060362883316
133,30,2023-10-30,P,32412.863115753826,18991.5,14269.990513939772,2160.5547451442117
134,51,2023-11-03,R,24585.134141309536,16836.0,2000.0,200.0
135,41,2023-09-26,P,35272.431673176914,7289.0,39295.28245943815,3096.749590178948
136,52,2023-10-17,T,41659.42991348813,0.0,11814.144651477383,4907.416981397105
137,37,2023-09-07,T,31002.44961074016,15339.0,116788.70494272612,3369.473723967537
